-e Commit_id	Date		Files	Insert	Delete	Sum
-ne 570c1a8		
-ne 2023-01-26 	
5	21	2	23
-ne dbc21a3		
-ne 2023-01-25 	
2	205	58	263
-ne 00234c3		
-ne 2023-01-20 	
1	10	0	10
-ne 5af91c4		
-ne 2023-01-20 	
2	96	14	110
-ne 666e536		
-ne 2023-01-19 	
1	15	10	25
-ne 744a386		
-ne 2023-01-19 	
1	39	5	44
-ne e62d1c0		
-ne 2022-07-13 	
1	8	7	15
-ne 6836996		
-ne 2022-07-13 	
1	8	7	15
-ne 0ecd219		
-ne 2022-07-13 	
4	50	3	53
-ne 7e05f51		
-ne 2022-07-13 	
2	22	24	46
-ne 204df74		
-ne 2022-07-13 	
4	41	5	46
-ne 1966494		
-ne 2022-07-11 	
2	7	6	13
-ne 4013aca		
-ne 2022-07-11 	
1	2	2	4
-ne eb41d24		
-ne 2022-07-11 	
1	2	0	2
-ne 3ccff5d		
-ne 2022-07-10 	
1	9	0	9
-ne 9483b2f		
-ne 2022-07-08 	
1	3	0	3
-ne 576fcd9		
-ne 2022-07-08 	
1	9	0	9
-ne 13aefbc		
-ne 2022-07-08 	
2	1	15	16
-ne cac75ab		
-ne 2022-07-08 	
1	9	0	9
-ne 1645652		
-ne 2022-07-08 	
1	1	1	2
-ne e668cff		
-ne 2020-01-30 	
1	10	9	19
-ne 29353b7		
-ne 2020-01-30 	
1	15	6	21
-ne b798fde		
-ne 2020-01-30 	
1	5	11	16
-ne 3a5a130		
-ne 2020-01-30 	
1	10	0	10
-ne 4945432		
-ne 2020-01-30 	
1	19	18	37
-ne 2ed5c52		
-ne 2020-01-30 	
1	11	10	21
-ne 5bffd80		
-ne 2020-01-30 	
1	5	2	7
-ne 35847a2		
-ne 2020-01-30 	
2	27	1	28
-ne 7b2d88d		
-ne 2020-01-30 	
12	53	74	127
-ne 76d2152		
-ne 2020-01-28 	
1	1	3	4
-ne 76c11e1		
-ne 2020-01-28 	
10	882	35	917
-ne 3993ce2		
-ne 2020-01-28 	
7	133	37	170
-ne d456102		
-ne 2020-01-27 	
1	1	1	2
-ne a9b8ffb		
-ne 2020-01-27 	
6	597	4	601
-ne ccd1c94		
-ne 2020-01-26 	
1	3	0	3
-ne 923d40d		
-ne 2020-01-26 	
4	111	29	140
-ne 70f9c0f		
-ne 2020-01-25 	
4	81	5	86
-ne 67d2e97		
-ne 2020-01-25 	
1	1	70	71
-ne 4f24438		
-ne 2020-01-25 	
3	221	25	246
-ne 617f9fc		
-ne 2020-01-24 	
10	534	297	831
-ne 5034783		
-ne 2020-01-23 	
2	159	42	201
-ne c24cb39		
-ne 2020-01-23 	
6	127	12	139
-ne ebcd69b		
-ne 2020-01-22 	
8	140	25	165
-ne 86f0c71		
-ne 2020-01-21 	
69	0	0	0
-ne 12a4f19		
-ne 2020-01-21 	
6	25	10	35
-ne 8812f5d		
-ne 2020-01-21 	
141	2	2023	2025
-ne 2f0992f		
-ne 2020-01-21 	
75	123	34	157
-ne 0e4e6b5		
-ne 2020-01-21 	
1	2	2	4
-ne 87d6659		
-ne 2020-01-21 	
1	4	3	7
-ne feb75e0		
-ne 2020-01-21 	
1	3	5	8
-ne 86bed18		
-ne 2020-01-21 	
1	2	3	5
-ne e585940		
-ne 2020-01-21 	
1	0	2	2
-ne 992644b		
-ne 2020-01-21 	
1	3	0	3
-ne 5c92364		
-ne 2020-01-21 	
1	9	2	11
-ne 8512203		
-ne 2020-01-21 	
1	1	1	2
-ne dbae2d5		
-ne 2020-01-21 	
221	4210	0	4210
